date,open,high,low,close,volume,openinterest
2026-04-27 17:00:00,76618.59,76990.43,76618.59,76743.24,874.80558,0
2026-04-27 18:00:00,76743.23,76890.99,76668.52,76834.06,361.97331,0
2026-04-27 19:00:00,76834.05,76894.7,76459.64,76878.07,598.68003,0
2026-04-27 20:00:00,76878.23,77067.8,76844.16,76960.43,310.80766,0
2026-04-27 21:00:00,76960.43,76981.53,76786.8,76786.81,223.94467,0
2026-04-27 22:00:00,76786.81,77082.78,76763.71,77066.42,364.86359,0
2026-04-27 23:00:00,77066.42,77450.0,77018.56,77371.32,438.27302,0
2026-04-28 00:00:00,77371.32,77478.0,77210.92,77379.62,327.26244,0
2026-04-28 01:00:00,77379.62,77394.1,77038.1,77084.68,404.77602,0
2026-04-28 02:00:00,77084.69,77227.03,76672.56,76890.93,437.7548,0
2026-04-28 03:00:00,76890.92,76890.92,76672.0,76815.18,278.47081,0
2026-04-28 04:00:00,76815.18,76950.0,76701.35,76888.08,274.86374,0
2026-04-28 05:00:00,76888.08,77154.0,76811.01,76885.98,510.80129,0
2026-04-28 06:00:00,76885.97,77027.91,76588.0,76720.0,465.05641,0
2026-04-28 07:00:00,76720.01,76922.22,76424.9,76879.28,1631.99051,0
2026-04-28 08:00:00,76879.28,77013.63,76741.12,76858.59,1043.07562,0
2026-04-28 09:00:00,76858.59,76863.54,76495.91,76598.0,361.69239,0
2026-04-28 10:00:00,76597.99,76692.19,76484.7,76618.35,418.24563,0
2026-04-28 11:00:00,76618.35,76649.86,76130.1,76229.0,1019.71842,0
2026-04-28 12:00:00,76228.99,76421.94,76168.84,76372.05,652.01316,0
2026-04-28 13:00:00,76372.04,76411.72,75924.98,76189.84,1288.525,0
2026-04-28 14:00:00,76189.85,76199.99,75666.6,75949.99,1264.2758,0
2026-04-28 15:00:00,75950.0,76085.42,75836.88,76066.38,571.95819,0
2026-04-28 16:00:00,76066.37,76218.06,75881.28,76125.04,447.54534,0
2026-04-28 17:00:00,76125.04,76262.63,75959.05,76187.3,337.12149,0
2026-04-28 18:00:00,76187.3,76280.91,76137.86,76242.18,337.48355,0
2026-04-28 19:00:00,76242.17,76380.83,76066.35,76330.97,259.65416,0
2026-04-28 20:00:00,76330.97,76480.0,76323.71,76463.95,259.71578,0
